,4.6.3_rbf_matern32_sin_lin_sin_lfbgs_0_0,4.6.3_rbf_matern32_sin_lin_sin_lfbgs_1_0,4.6.3_rbf_matern32_sin_lin_sin_lfbgs_2_0,4.6.3_rbf_matern32_sin_lin_sin_lfbgs_3_0,4.6.3_rbf_matern32_sin_lin_sin_lfbgs_4_0
         0.00000000e+00,  0.00000000e+00,  0.00000000e+00]])>","<Parameter: name=identity, dtype=float64, shape=[1000, 11], fn=""identity"", numpy=
array([[-1.62428913e+00,  1.60000000e+02, -1.10637372e+00, ...,
         0.00000000e+00,  0.00000000e+00,  0.00000000e+00],
       [-4.86138742e-01,  1.29400000e+03,  6.53609299e-02, ...,
         0.00000000e+00,  1.00000000e+00,  0.00000000e+00],
       [-2.52671996e-01,  1.66700000e+03,  3.87008159e-01, ...,
         0.00000000e+00,  0.00000000e+00,  1.00000000e+00],
       ...,
       [-8.07155519e-01,  9.18000000e+02,  7.38235479e-01, ...,
         1.00000000e+00,  0.00000000e+00,  0.00000000e+00],
       [ 3.60178214e-01,  1.68800000e+03, -2.26147677e-01, ...,
         0.00000000e+00,  0.00000000e+00,  1.00000000e+00],
       [-7.75719360e-02,  5.78000000e+02,  4.68841141e-01, ...,
         0.00000000e+00,  0.00000000e+00,  0.00000000e+00]])>","<Parameter: name=identity, dtype=float64, shape=[1000, 11], fn=""identity"", numpy=
array([[-5.65141260e-01,  5.61000000e+02,  5.33994806e-01, ...,
         0.00000000e+00,  0.00000000e+00,  0.00000000e+00],
       [-4.19237816e-01,  9.31000000e+02,  5.49408485e-01, ...,
         1.00000000e+00,  0.00000000e+00,  0.00000000e+00],
       [-1.61564606e+00,  5.25000000e+02,  2.07361778e-01, ...,
         0.00000000e+00,  0.00000000e+00,  0.00000000e+00],
       ...,
       [ 1.44832627e+00,  9.95000000e+02,  5.33994806e-01, ...,
         1.00000000e+00,  0.00000000e+00,  0.00000000e+00],
       [ 1.12733869e+00,  9.84000000e+02,  5.49408485e-01, ...,
         1.00000000e+00,  0.00000000e+00,  0.00000000e+00],
       [-7.69406082e-01,  1.89000000e+02,  5.49408485e-01, ...,
         0.00000000e+00,  0.00000000e+00,  0.00000000e+00]])>","<Parameter: name=identity, dtype=float64, shape=[1000, 11], fn=""identity"", numpy=
array([[ 2.73474776e-01,  2.25000000e+02, -1.34833889e+00, ...,
         0.00000000e+00,  0.00000000e+00,  0.00000000e+00],
       [ 1.52516166e+00,  9.98000000e+02,  4.83072815e-02, ...,
         1.00000000e+00,  0.00000000e+00,  0.00000000e+00],
       [ 1.26318068e+00,  9.89000000e+02, -1.34201493e+00, ...,
         1.00000000e+00,  0.00000000e+00,  0.00000000e+00],
       ...,
       [ 6.97117949e-02,  2.18000000e+02,  5.72373560e-01, ...,
         0.00000000e+00,  0.00000000e+00,  0.00000000e+00],
       [-1.38573807e+00,  5.33000000e+02,  4.83079327e-01, ...,
         0.00000000e+00,  0.00000000e+00,  0.00000000e+00],
       [ 1.58337965e+00,  6.35000000e+02,  5.90206362e-01, ...,
         0.00000000e+00,  0.00000000e+00,  0.00000000e+00]])>"
.q_mu,"<Parameter: name=identity, dtype=float64, shape=[1000, 1], fn=""identity"", numpy=
array([[-2.75520373e-02],
       [-3.31061440e-01],
       [-3.55154219e-01],
       [ 2.86514503e-01],
       [ 2.57600313e-01],
       [-4.09804655e-02],
       [ 2.44088822e-01],
       [ 6.55504782e-02],
       [-5.33239152e-01],
       [ 5.44308721e-01],
       [-1.49655060e-01],
       [-8.29198246e-02],
       [ 3.76987781e-01],
       [-7.84782740e-01],
       [ 5.80854671e-01],
       [-2.47783921e-01],
       [ 6.89177497e-01],
       [ 2.31605043e-01],
       [-1.99184144e-01],
       [-5.65221625e-01],
       [ 4.27286967e-01],
       [ 4.85514592e-01],
       [ 4.25222922e-01],
       [-5.50935066e-01],
       [ 1.61715918e-01],
       [-2.64436010e-01],
       [ 5.69388915e-01],
       [ 3.00055493e-01],
       [-1.83415500e-01],
       [-5.61248694e-01],
       [-2.83705016e-01],
       [ 6.34822526e-01],
       [-4.10148832e-01],
       [-5.54166461e-01],
       [-1.59655443e-01],
       [ 2.62696851e-01],
       [ 3.21953792e-02],
       [ 4.05613091e-01],
       [ 3.99862137e-01],
       [-4.31831092e-02],
       [ 1.77503670e-01],
       [-5.38368648e-01],
       [ 7.38866182e-01],
       [-3.33447817e-01],
       [ 2.21499025e-01],
       [-5.35125767e-01],
       [ 3.86189157e-01],
       [-3.69664970e-01],
       [ 9.35862139e-01],
       [-3.60805281e-01],
       [ 2.63246977e-01],
       [ 2.79845403e-01],
       [-6.76513710e-01],
       [ 5.76003574e-01],
       [-5.27776327e-01],
       [-8.31992295e-01],
       [-2.12044280e-01],
       [ 7.89369346e-01],
       [-3.53027541e-01],
       [ 2.48671087e-01],
       [ 4.39397887e-01],
       [ 8.26497968e-02],
       [-1.18451058e-01],
       [-2.83040686e-01],
       [-6.01153454e-01],
       [ 2.68919371e-01],
       [-2.97892432e-01],
       [ 3.20240632e-01],
       [ 3.66532573e-01],
       [ 2.72131144e-02],
       [-4.29519185e-01],
       [-4.00441525e-01],
       [ 5.06132707e-01],
       [-6.88954603e-01],
       [ 1.54391699e-01],
       [ 3.89046756e-01],
       [ 4.24860598e-01],
       [ 1.44517934e-01],
       [ 4.59200935e-01],
       [ 6.65464713e-01],
       [-5.07120695e-01],
       [ 3.92902001e-01],
       [-1.90122728e-01],
       [ 3.20195968e-01],
       [-5.21408075e-01],
       [ 1.36975867e-01],
       [ 6.25171287e-01],
       [ 4.50787390e-01],
       [ 2.02330512e-01],
       [-1.40862016e-01],
       [ 5.76005010e-01],
       [ 6.88648452e-01],
       [-4.58001731e-01],
       [ 2.99559136e-01],
       [-4.27686033e-01],
       [ 2.32372402e-01],
       [-6.01726326e-02],
       [ 2.68856832e-01],
       [-9.04477212e-02],
       [ 4.78873995e-01],
       [-2.60981161e-01],
       [-6.04860852e-01],
       [ 4.54859301e-01],
       [-5.73549610e-01],
       [-6.75575719e-02],
       [-1.80258399e-01],
       [ 1.74287024e-01],
       [ 6.38300961e-02],
       [-5.14920579e-01],
       [-3.18562342e-01],
       [ 6.23779575e-01],
       [ 4.33426849e-01],
       [ 3.63897961e-01],
       [-1.78731650e-01],
       [-6.40394032e-01],
       [ 4.62615112e-01],
       [ 5.66450915e-01],
       [-5.76274587e-01],
       [ 1.71252980e-02],
       [-1.58671535e-01],
       [ 1.33497517e-01],
       [ 3.81710672e-01],
       [-7.19354080e-02],
       [ 2.95247736e-01],
       [ 4.07422693e-01],
       [-4.77957501e-01],
       [-2.28563290e-01],
       [-9.85739801e-01],
       [-5.53467933e-01],
       [ 3.25038112e-01],
       [ 2.49147396e-02],
       [-4.58020350e-01],
       [ 3.68474908e-03],
       [-1.90353238e-01],
       [-4.21205201e-01],
       [-4.92617561e-02],
       [-7.89516959e-02],
       [ 1.63355849e-01],
       [ 2.45541610e-01],
       [ 3.20151069e-01],
       [-1.33440025e-01],
       [ 2.77011209e-01],
       [-5.21784790e-02],
       [ 5.69487518e-01],
       [-2.76434510e-01],
       [-9.63182358e-02],
       [ 4.72336043e-02],
       [ 5.02556267e-01],
       [-7.77931054e-02],
       [-1.75539731e-01],
       [ 2.17409810e-01],
       [ 4.30935015e-01],
       [ 1.45077622e-01],
       [ 5.64581948e-01],
       [ 1.93583671e-01],
       [-4.94357222e-01],
       [ 3.52682663e-01],
       [-5.17948550e-01],
       [-2.16600913e-01],
       [-4.63777126e-01],
       [ 3.11457835e-01],
       [ 2.83594989e-01],
       [ 3.85477411e-02],
       [-6.68355849e-01],
       [ 7.00124053e-01],
       [ 1.51784815e-01],
       [-5.59151344e-01],
       [-2.77836702e-01],
       [-3.23895258e-01],
       [-1.62356224e-01],
       [-2.34616689e-01],
       [ 1.89173256e-01],
       [ 4.47646079e-01],
       [ 4.06221472e-01],
       [ 4.53632175e-01],
       [-4.38970737e-01],
       [-1.10923756e-01],
       [ 1.41326394e-01],
       [ 1.82619147e-01],
       [ 5.86574358e-01],
       [ 4.43941043e-01],
       [ 2.78987627e-01],
       [ 6.57506782e-01],
       [ 9.31187751e-03],
       [-5.08620806e-01],
       [ 2.99938681e-01],
       [ 4.86406131e-02],
       [ 9.15396741e-01],
       [-2.36004951e-02],
       [ 3.48260985e-01],
       [ 1.09562341e-01],
       [-3.32845016e-01],
       [ 9.28155974e-02],
       [ 3.89133186e-02],
       [-8.01030924e-01],
       [ 1.54787346e-01],
       [-5.50582471e-02],
       [-1.71581403e-01],
       [ 2.99526438e-01],
       [-5.22136054e-01],
       [-2.85584467e-02],
       [-7.09950397e-02],
       [ 2.50449074e-01],
       [-3.42187924e-01],
       [ 5.17261820e-01],
       [-2.49912480e-01],
       [ 9.52175097e-03],
       [ 1.25502642e-01],
       [ 2.51511096e-01],
       [-3.50840074e-01],
       [ 4.74014214e-01],
       [-2.40451220e-03],
       [-5.65003056e-01],
       [ 6.66613965e-01],
       [-6.13051979e-01],
       [-2.12056513e-01],
       [-2.52179569e-01],
       [-2.41149209e-02],
       [ 1.23644942e-02],
       [ 1.52892548e-01],
       [ 2.20968930e-01],
       [-4.90860311e-01],
       [ 3.12244142e-01],
       [-3.35359185e-01],
       [ 1.96349636e-01],
       [-6.04009088e-02],
       [ 4.16053900e-01],
       [-1.34014950e-01],
       [-6.18330503e-02],
       [-5.36691906e-01],
       [-3.75615301e-01],
       [-4.63924727e-01],
       [-5.42147126e-01],
       [-2.49036532e-03],
       [-6.22527706e-02],
       [-2.57790874e-01],
       [ 1.19806513e-01],
       [ 8.14858914e-03],
       [ 3.52293910e-01],
       [-2.19977830e-01],
       [-3.67921576e-01],
       [-4.06454543e-01],
       [ 2.78683266e-01],
       [-2.38830907e-02],
       [ 3.07771781e-01],
       [-1.49090839e-01],
       [-8.39710564e-02],
       [-3.52924754e-01],
       [-2.44484922e-01],
       [-5.47010074e-01],
       [ 1.50286165e-01],
       [-3.32496543e-01],
       [-2.12644914e-01],
       [-6.61239080e-01],
       [-7.32847116e-01],
       [ 6.32087793e-01],
       [ 1.09519850e-01],
       [-1.88592446e-01],
       [ 2.20345950e-02],
       [ 1.18707691e-01],
       [-2.11413840e-01],
       [-3.84485280e-01],
       [-4.12868120e-01],
       [-1.25459866e-01],
       [ 5.02429670e-01],
       [-4.35584253e-01],
       [-2.69523635e-01],
       [-6.12123862e-01],
       [-4.77153847e-01],
       [-4.16266697e-01],
       [ 4.50485862e-01],
       [-3.39520149e-01],
       [ 1.65588365e-01],
       [-4.03841025e-01],
       [-6.41362641e-01],
       [-2.97851147e-01],
       [ 4.01007081e-01],
       [-1.81325960e-01],
       [ 2.88806231e-01],
       [ 1.76354693e-01],
       [-5.96359493e-01],
       [ 9.62227253e-02],
       [ 1.04000209e-01],
       [ 2.41896554e-01],
       [ 2.49593877e-02],
       [-5.14424018e-01],
       [-1.30031095e-01],
       [-9.01445526e-02],
       [ 3.02076750e-01],
       [-2.37943858e-01],
       [-2.79366564e-01],
       [ 2.83710211e-01],
       [ 3.38592501e-01],
       [ 2.06121639e-02],
       [-3.36904349e-02],
       [ 1.19355427e-01],
       [ 4.50132168e-01],
       [ 6.84271494e-02],
       [-3.41132245e-01],
       [-7.34661601e-01],
       [-5.98310702e-01],
       [-6.61166962e-01],
       [ 2.29620116e-01],
       [ 1.80983803e-01],
       [-5.02366096e-02],
       [ 1.00581460e-01],
       [-7.75524364e-02],
       [ 3.28905064e-01],
       [ 1.21147099e-01],
       [ 5.44298343e-01],
       [-5.69747773e-01],
       [-5.12086380e-01],
       [-3.37983334e-01],
       [-3.18860028e-01],
       [-1.86292935e-01],
       [-6.33210489e-01],
       [-2.17870196e-01],
       [-3.50551757e-01],
       [ 2.67849251e-01],
       [-9.34453719e-02],
       [-2.10755964e-01],
       [-3.25213714e-01],
       [-3.83452628e-01],
       [ 3.59497548e-01],
       [ 1.51614001e-01],
       [ 3.09137876e-01],
       [ 6.12371724e-01],
       [-6.30628539e-04],
       [ 1.26618473e-01],
       [ 8.84474985e-02],
       [-4.62473747e-01],
       [ 4.19283629e-01],
       [ 1.41541469e-01],
       [ 7.97578819e-01],
       [ 8.84082553e-02],
       [ 5.06246782e-02],
       [ 1.43239023e-01],
       [ 4.61552585e-02],
       [-5.26252887e-01],
       [-1.65639348e-01],
       [ 4.17492521e-01],
       [-2.73634734e-01],
       [-2.92914481e-02],
       [-8.81562545e-02],
       [ 3.24536616e-01],
       [ 1.29022418e-03],
       [-3.51302670e-01],
       [-7.45312246e-02],
       [ 3.19855951e-01],
       [ 3.13163865e-01],
       [ 9.76858123e-02],
       [ 6.29665500e-02],
       [-1.52273813e-01],
       [ 4.86723994e-01],
       [-1.46150405e-01],
       [ 5.45480615e-01],
       [-7.94882924e-04],
       [ 4.28955830e-01],
       [-3.96120616e-01],
       [ 2.30440392e-02],
       [ 3.93748041e-02],
       [ 7.58093715e-02],
       [-2.33012075e-01],
       [ 2.17106510e-01],
       [-2.73147372e-01],
       [ 5.20574681e-01],
       [-3.76553099e-01],
       [-2.04204922e-01],
       [ 3.49287707e-01],
       [ 6.03424946e-01],
       [ 5.23472561e-01],
       [-8.82190834e-02],
       [-1.70008206e-01],
       [ 2.61891887e-01],
       [ 1.04017548e-01],
       [-3.09806800e-01],
       [-4.47474657e-01],
       [-5.69437776e-01],
       [-5.62473426e-01],
       [ 3.64469173e-01],
       [ 1.48046451e-02],
       [-2.77648844e-01],
       [ 4.28956830e-01],
       [ 1.54839632e-01],
       [ 5.73167271e-02],
       [-2.72371476e-01],
       [ 4.53312476e-02],
       [ 1.24997073e-01],
